# t,tx,ty,tz,rx,ry,rz
1.763579371723019838e+09,-4.845618792929468933e-03,-3.136956225419883504e-01,6.895950095475418262e-01,1.946201550834272931e+00,-1.838072343596889313e+00,-5.592160856484986731e-01
1.763579371773037195e+09,-6.216396977415169535e-03,-3.171303084176114728e-01,6.908387792571496488e-01,1.918093158404252652e+00,-1.866330554114014495e+00,-5.702103686219295309e-01
1.763579371823105812e+09,-5.616908046785338941e-03,-3.203868808072515284e-01,6.915876110359453488e-01,1.898399089271623374e+00,-1.883978207299392249e+00,-5.769647750492906679e-01
1.763579371873127460e+09,-4.151170580122509959e-03,-3.230377664892905565e-01,6.928430873527946510e-01,1.879786528541505630e+00,-1.897119217102456901e+00,-5.841794895470161508e-01
1.763579371922848225e+09,-3.320722179575719656e-03,-3.260009312670075210e-01,6.924443265486910359e-01,1.855839473708826404e+00,-1.909953309549672351e+00,-5.932397589712489205e-01
1.763579371972474098e+09,-2.149573429793936660e-03,-3.292548538927941304e-01,6.921842010407507351e-01,1.827705746521260055e+00,-1.924561428718433609e+00,-6.051643769132382111e-01
1.763579372022383451e+09,-6.054084716612881389e-04,-3.310835123490345477e-01,6.931264447406864093e-01,1.800899989392962475e+00,-1.936577124438383590e+00,-6.170729340499159221e-01
1.763579372072589397e+09,1.025488712636844464e-03,-3.333349254807472795e-01,6.932375802367046758e-01,1.774546034163065222e+00,-1.943840498763147240e+00,-6.300900527465415069e-01
1.763579372122891665e+09,2.328809416082812129e-03,-3.358140963350043640e-01,6.933822463656275081e-01,1.749748913275639639e+00,-1.952939379766208461e+00,-6.397024104360229391e-01
1.763579372173150301e+09,2.304809870205527540e-03,-3.390195511128862860e-01,6.926708052789718462e-01,1.729157660528370055e+00,-1.963178162752208467e+00,-6.427327193610908873e-01
1.763579372223241806e+09,2.445574174874879606e-03,-3.424260213393794383e-01,6.922579501639374300e-01,1.713246505506312856e+00,-1.972763384704363299e+00,-6.445074258348717500e-01
1.763579372272986650e+09,2.560209086654379341e-03,-3.462327503208305068e-01,6.917755771235702955e-01,1.699518912470138421e+00,-1.980448390964264282e+00,-6.476035169431149097e-01
1.763579372322620630e+09,2.771792967923740209e-03,-3.496603948866161549e-01,6.915172685611095105e-01,1.685894893446906240e+00,-1.990672958344677612e+00,-6.495329678742225443e-01
1.763579372372596979e+09,2.310555935341540926e-03,-3.532370764591028500e-01,6.904140361092845346e-01,1.669980634877099579e+00,-2.003655706989445839e+00,-6.499204879868794027e-01
1.763579372422885895e+09,2.793397717716587098e-03,-3.560297006660015362e-01,6.892061261581233778e-01,1.652490115903459289e+00,-2.016378691169223192e+00,-6.527275529125118325e-01
1.763579372473138571e+09,2.074337664843510856e-03,-3.589322279731068099e-01,6.887865151749565928e-01,1.635301446337343201e+00,-2.026489939753266523e+00,-6.570999333963374323e-01
1.763579372523370981e+09,2.573238403322891405e-03,-3.605461470029219795e-01,6.886413220996364659e-01,1.619883416604265269e+00,-2.036852427972572599e+00,-6.652179330835397142e-01
1.763579372573207140e+09,1.342203830743002313e-03,-3.626353552126155844e-01,6.892299275383311219e-01,1.606676087178327661e+00,-2.044600881997429287e+00,-6.704645299073046516e-01
1.763579372622747421e+09,1.123282512538209543e-03,-3.645907373481475089e-01,6.894955526252515288e-01,1.594342660403121448e+00,-2.049473441591848299e+00,-6.772312254429004863e-01
1.763579372672317028e+09,8.141931101397043794e-04,-3.657988998679237436e-01,6.905603873616154020e-01,1.580978083182718041e+00,-2.052641550985647267e+00,-6.857057661316423580e-01
1.763579372722374201e+09,3.178894252381121895e-03,-3.664118708889980702e-01,6.907470560130538617e-01,1.566136853167765741e+00,-2.055018705844215976e+00,-7.010760901679341517e-01
1.763579372772933245e+09,2.256390049570016106e-03,-3.673618503398094481e-01,6.930048089994187421e-01,1.552304537872970291e+00,-2.057130288663285178e+00,-7.131895383131807709e-01
1.763579372823386431e+09,1.092705682835220246e-03,-3.685906794629982830e-01,6.955988965459830586e-01,1.543030175189194386e+00,-2.060261997817999458e+00,-7.261636073549102566e-01
